age,workclass,education,occupation,native-country,class
40.0,Private,7th-8th,Machine-op-inspct,Mexico,>50K
37.0,Federal-gov,Some-college,Adm-clerical,United-States,>50K
34.0,Private,HS-grad,Adm-clerical,United-States,<=50K
41.0,Self-emp-not-inc,Bachelors,Exec-managerial,United-States,<=50K
53.0,?,Bachelors,?,United-States,<=50K
31.0,Private,Masters,Prof-specialty,United-States,<=50K
58.0,State-gov,Doctorate,Prof-specialty,United-States,>50K
38.0,Private,Some-college,Machine-op-inspct,United-States,<=50K
24.0,Private,Some-college,Machine-op-inspct,United-States,<=50K
41.0,Local-gov,Bachelors,Craft-repair,United-States,<=50K
47.0,Private,Some-college,Tech-support,United-States,<=50K
41.0,Federal-gov,Bachelors,Tech-support,United-States,<=50K
23.0,Private,5th-6th,Transport-moving,Mexico,<=50K
36.0,Private,Some-college,Craft-repair,United-States,<=50K
40.0,Federal-gov,Masters,Exec-managerial,United-States,>50K
35.0,Private,Masters,Prof-specialty,United-States,>50K
24.0,Self-emp-not-inc,HS-grad,Sales,United-States,<=50K
26.0,Private,Masters,Prof-specialty,United-States,<=50K
19.0,?,HS-grad,?,Italy,<=50K
51.0,Private,Bachelors,Exec-managerial,United-States,>50K
42.0,Local-gov,Some-college,Prof-specialty,United-States,<=50K
37.0,State-gov,HS-grad,Adm-clerical,United-States,<=50K
18.0,Private,11th,Sales,United-States,<=50K
36.0,Private,Bachelors,Other-service,United-States,>50K
35.0,Private,HS-grad,Craft-repair,United-States,<=50K
58.0,Self-emp-inc,HS-grad,Sales,United-States,>50K
17.0,Private,11th,Sales,United-States,<=50K
44.0,Local-gov,HS-grad,Transport-moving,United-States,<=50K
37.0,Private,HS-grad,Craft-repair,United-States,>50K
35.0,Private,Some-college,Sales,United-States,<=50K
60.0,Private,HS-grad,Craft-repair,United-States,<=50K
54.0,Self-emp-inc,7th-8th,Machine-op-inspct,United-States,>50K
37.0,Private,Bachelors,Exec-managerial,United-States,>50K
50.0,Private,Assoc-acdm,Sales,United-States,<=50K
38.0,Private,Bachelors,Sales,Poland,<=50K
45.0,Private,Bachelors,Prof-specialty,United-States,<=50K
25.0,Private,10th,Craft-repair,United-States,<=50K
31.0,Private,Some-college,Handlers-cleaners,United-States,<=50K
64.0,?,1st-4th,?,United-States,<=50K
90.0,Private,HS-grad,Other-service,United-States,<=50K
54.0,Private,HS-grad,Adm-clerical,United-States,<=50K
53.0,Local-gov,Preschool,Machine-op-inspct,United-States,<=50K
18.0,Private,HS-grad,Sales,United-States,<=50K
60.0,?,10th,?,United-States,<=50K
66.0,Self-emp-not-inc,HS-grad,Farming-fishing,United-States,<=50K
75.0,Private,Assoc-voc,Adm-clerical,Columbia,<=50K
65.0,Private,HS-grad,Adm-clerical,United-States,<=50K
35.0,Private,11th,Transport-moving,United-States,<=50K
41.0,Private,HS-grad,Sales,United-States,<=50K
25.0,Private,Some-college,Adm-clerical,United-States,<=50K
33.0,Private,Some-college,Craft-repair,United-States,<=50K
28.0,Private,Prof-school,Prof-specialty,United-States,>50K
59.0,State-gov,HS-grad,Other-service,United-States,<=50K
40.0,State-gov,Some-college,Adm-clerical,United-States,<=50K
41.0,Private,Bachelors,Exec-managerial,Iran,>50K
38.0,Local-gov,Masters,Exec-managerial,United-States,>50K
23.0,Private,HS-grad,Transport-moving,United-States,<=50K
40.0,Private,Bachelors,Prof-specialty,United-States,>50K
41.0,Self-emp-not-inc,HS-grad,Other-service,United-States,<=50K
24.0,State-gov,Assoc-acdm,Protective-serv,United-States,<=50K
20.0,?,Some-college,?,United-States,<=50K
38.0,Private,Some-college,Craft-repair,United-States,<=50K
56.0,Private,HS-grad,Adm-clerical,?,<=50K
58.0,Private,HS-grad,Adm-clerical,United-States,>50K
32.0,Private,HS-grad,Other-service,United-States,<=50K
40.0,Private,Assoc-acdm,Tech-support,United-States,>50K
45.0,Private,HS-grad,Adm-clerical,?,<=50K
41.0,Private,Prof-school,Prof-specialty,United-States,>50K
42.0,Private,Bachelors,Adm-clerical,United-States,<=50K
59.0,Local-gov,10th,Other-service,United-States,<=50K
19.0,Local-gov,Some-college,Adm-clerical,United-States,<=50K
58.0,Private,Some-college,Transport-moving,United-States,<=50K
42.0,Self-emp-not-inc,HS-grad,Farming-fishing,Cambodia,>50K
20.0,Private,HS-grad,Other-service,United-States,<=50K
32.0,Private,HS-grad,Other-service,United-States,<=50K
45.0,Private,Assoc-voc,Exec-managerial,United-States,<=50K
50.0,Private,7th-8th,Craft-repair,United-States,<=50K
36.0,Private,Bachelors,Prof-specialty,United-States,<=50K
45.0,Private,HS-grad,Sales,United-States,<=50K
17.0,Private,11th,Other-service,United-States,<=50K
59.0,Private,Some-college,Sales,United-States,<=50K
26.0,Private,11th,Craft-repair,United-States,<=50K
37.0,Self-emp-inc,Some-college,Exec-managerial,Thailand,>50K
19.0,?,Some-college,?,Canada,<=50K
64.0,Private,HS-grad,Exec-managerial,United-States,>50K
33.0,Private,Bachelors,Prof-specialty,United-States,<=50K
33.0,Private,HS-grad,Craft-repair,United-States,>50K
61.0,Private,HS-grad,Exec-managerial,United-States,>50K
17.0,Private,9th,Other-service,United-States,<=50K
50.0,Self-emp-not-inc,Masters,Farming-fishing,United-States,<=50K
27.0,Local-gov,Masters,Prof-specialty,United-States,<=50K
30.0,Private,HS-grad,Prof-specialty,United-States,<=50K
43.0,Private,HS-grad,Handlers-cleaners,United-States,<=50K
44.0,Private,Some-college,Craft-repair,United-States,>50K
35.0,Private,Some-college,Exec-managerial,United-States,<=50K
25.0,Private,Some-college,Tech-support,United-States,<=50K
24.0,Private,Some-college,Machine-op-inspct,United-States,>50K
22.0,Private,Bachelors,Prof-specialty,Germany,<=50K
42.0,Local-gov,Some-college,Craft-repair,United-States,>50K
34.0,Private,Assoc-acdm,Sales,United-States,<=50K
60.0,Private,Bachelors,Prof-specialty,United-States,<=50K
21.0,Private,HS-grad,Handlers-cleaners,United-States,<=50K
57.0,Federal-gov,Masters,Sales,United-States,>50K
41.0,Private,Prof-school,Prof-specialty,United-States,>50K
50.0,Private,Some-college,Other-service,United-States,<=50K
25.0,Private,Bachelors,Exec-managerial,United-States,<=50K
50.0,Private,7th-8th,Craft-repair,Ecuador,<=50K
36.0,Private,Bachelors,Prof-specialty,United-States,<=50K
31.0,Private,HS-grad,Prof-specialty,United-States,<=50K
29.0,Local-gov,Bachelors,Protective-serv,United-States,<=50K
21.0,Private,Some-college,Sales,United-States,<=50K
27.0,Private,Bachelors,Tech-support,United-States,<=50K
65.0,Private,HS-grad,Transport-moving,United-States,<=50K
37.0,Self-emp-inc,Bachelors,Sales,United-States,<=50K
39.0,?,Masters,?,?,<=50K
24.0,Private,HS-grad,Craft-repair,United-States,<=50K
38.0,Private,HS-grad,Sales,United-States,<=50K
48.0,Private,Bachelors,Adm-clerical,United-States,>50K
21.0,Private,Some-college,Other-service,United-States,<=50K
31.0,Private,HS-grad,Transport-moving,United-States,>50K
55.0,Private,HS-grad,Sales,United-States,>50K
24.0,Private,Some-college,Adm-clerical,Laos,<=50K
43.0,Private,HS-grad,Adm-clerical,United-States,<=50K
26.0,Private,Assoc-acdm,Tech-support,United-States,<=50K
46.0,Private,Assoc-acdm,Prof-specialty,United-States,<=50K
35.0,Private,Assoc-acdm,Adm-clerical,United-States,>50K
41.0,Self-emp-inc,Some-college,Farming-fishing,United-States,>50K
26.0,Private,Bachelors,Sales,United-States,<=50K
34.0,Private,Masters,Exec-managerial,Taiwan,>50K
19.0,?,Some-college,?,United-States,<=50K
36.0,Self-emp-not-inc,Bachelors,Prof-specialty,United-States,>50K
22.0,Private,Some-college,Sales,United-States,<=50K
24.0,Private,Some-college,Machine-op-inspct,United-States,<=50K
77.0,Self-emp-not-inc,Some-college,Sales,United-States,<=50K
22.0,Private,5th-6th,Machine-op-inspct,Mexico,<=50K
29.0,Private,Some-college,Tech-support,United-States,<=50K
62.0,Private,HS-grad,Other-service,United-States,<=50K
39.0,Self-emp-not-inc,HS-grad,Exec-managerial,United-States,<=50K
43.0,Private,Some-college,Craft-repair,United-States,<=50K
35.0,Private,HS-grad,Transport-moving,United-States,<=50K
29.0,Private,11th,Exec-managerial,United-States,<=50K
76.0,Self-emp-not-inc,Masters,Craft-repair,United-States,<=50K
63.0,Self-emp-not-inc,HS-grad,Farming-fishing,United-States,<=50K
23.0,?,Assoc-voc,?,United-States,<=50K
43.0,Private,Some-college,Prof-specialty,United-States,>50K
58.0,Self-emp-not-inc,HS-grad,Handlers-cleaners,United-States,<=50K
66.0,Private,HS-grad,Transport-moving,United-States,<=50K
41.0,Private,Some-college,Craft-repair,United-States,<=50K
26.0,Private,Bachelors,Adm-clerical,United-States,<=50K
47.0,Private,Assoc-voc,Other-service,United-States,<=50K
55.0,Local-gov,10th,Adm-clerical,United-States,<=50K
53.0,Private,HS-grad,Transport-moving,United-States,<=50K
17.0,Private,5th-6th,Other-service,Mexico,<=50K
30.0,Private,HS-grad,Craft-repair,United-States,<=50K
49.0,Private,Masters,Prof-specialty,United-States,<=50K
19.0,Private,HS-grad,Sales,Haiti,<=50K
45.0,Private,HS-grad,Other-service,United-States,<=50K
26.0,Private,Assoc-acdm,Sales,United-States,<=50K
38.0,Private,Assoc-voc,Craft-repair,United-States,>50K
36.0,State-gov,HS-grad,Protective-serv,United-States,>50K
33.0,Private,HS-grad,Farming-fishing,United-States,<=50K
22.0,State-gov,Some-college,Protective-serv,United-States,<=50K
43.0,Self-emp-not-inc,Bachelors,Sales,United-States,<=50K
67.0,?,11th,?,United-States,<=50K
30.0,?,Assoc-voc,?,United-States,<=50K
56.0,Private,Assoc-acdm,Other-service,Iran,<=50K
31.0,Private,Bachelors,Prof-specialty,United-States,<=50K
33.0,Private,Bachelors,Exec-managerial,United-States,>50K
26.0,Private,HS-grad,Other-service,United-States,<=50K
33.0,Private,Bachelors,Exec-managerial,United-States,>50K
46.0,Local-gov,11th,Transport-moving,United-States,<=50K
59.0,?,Bachelors,?,United-States,>50K
38.0,Federal-gov,HS-grad,Adm-clerical,United-States,>50K
65.0,Private,11th,Other-service,United-States,<=50K
40.0,Private,Assoc-voc,Tech-support,United-States,>50K
42.0,Private,HS-grad,Adm-clerical,United-States,<=50K
26.0,Self-emp-not-inc,9th,Craft-repair,Portugal,<=50K
36.0,Private,10th,Other-service,United-States,<=50K
62.0,Private,Masters,Prof-specialty,United-States,>50K
43.0,Private,Bachelors,Transport-moving,United-States,<=50K
43.0,Private,Bachelors,Exec-managerial,United-States,>50K
22.0,Private,HS-grad,Sales,United-States,<=50K
28.0,Private,HS-grad,Craft-repair,United-States,<=50K
56.0,Self-emp-not-inc,Some-college,Sales,United-States,<=50K
22.0,Private,Assoc-acdm,Sales,United-States,<=50K
57.0,Private,Bachelors,Exec-managerial,United-States,>50K
39.0,Private,HS-grad,Sales,United-States,<=50K
26.0,Federal-gov,Some-college,Adm-clerical,United-States,<=50K
17.0,Private,11th,Other-service,United-States,<=50K
40.0,State-gov,Assoc-voc,Machine-op-inspct,United-States,>50K
45.0,Private,HS-grad,Machine-op-inspct,United-States,<=50K
44.0,Private,HS-grad,Craft-repair,United-States,<=50K
20.0,Local-gov,Some-college,Adm-clerical,United-States,<=50K
33.0,Private,HS-grad,Craft-repair,United-States,<=50K
23.0,Private,Some-college,Sales,United-States,<=50K
46.0,Self-emp-not-inc,Masters,Exec-managerial,United-States,<=50K
38.0,Private,HS-grad,Sales,United-States,<=50K
54.0,Private,HS-grad,Transport-moving,United-States,<=50K
46.0,Private,5th-6th,Craft-repair,United-States,<=50K
25.0,Private,Some-college,Craft-repair,United-States,<=50K
46.0,Private,Some-college,Sales,United-States,<=50K
36.0,Local-gov,Some-college,Transport-moving,United-States,<=50K
23.0,Private,HS-grad,Other-service,United-States,<=50K
29.0,Private,HS-grad,Machine-op-inspct,United-States,<=50K
44.0,Private,Some-college,Adm-clerical,United-States,>50K
19.0,Private,Some-college,Adm-clerical,United-States,<=50K
19.0,Private,HS-grad,Other-service,United-States,<=50K
35.0,Private,HS-grad,Other-service,United-States,>50K
27.0,Private,Bachelors,Craft-repair,United-States,<=50K
46.0,Self-emp-not-inc,Assoc-acdm,Craft-repair,United-States,<=50K
34.0,State-gov,Bachelors,Exec-managerial,?,>50K
34.0,Private,HS-grad,Other-service,United-States,<=50K
44.0,Private,Some-college,Tech-support,United-States,<=50K
45.0,Private,Some-college,Handlers-cleaners,United-States,<=50K
20.0,?,HS-grad,?,United-States,<=50K
25.0,Private,Bachelors,Exec-managerial,United-States,>50K
52.0,Self-emp-inc,Bachelors,Exec-managerial,United-States,>50K
20.0,Private,Some-college,Handlers-cleaners,United-States,<=50K
28.0,Private,Some-college,Other-service,United-States,<=50K
50.0,State-gov,Bachelors,Protective-serv,United-States,>50K
34.0,Private,Assoc-voc,Tech-support,United-States,<=50K
28.0,Private,7th-8th,Handlers-cleaners,Puerto-Rico,<=50K
41.0,Private,Masters,Exec-managerial,United-States,>50K
28.0,Private,HS-grad,Adm-clerical,United-States,<=50K
46.0,Self-emp-not-inc,HS-grad,Craft-repair,United-States,<=50K
28.0,?,Some-college,?,United-States,>50K
32.0,Private,Some-college,Exec-managerial,United-States,<=50K
41.0,Local-gov,Some-college,Other-service,United-States,<=50K
24.0,Private,HS-grad,Handlers-cleaners,United-States,<=50K
33.0,Private,Some-college,Exec-managerial,United-States,<=50K
46.0,Private,Doctorate,Exec-managerial,United-States,>50K
31.0,State-gov,Some-college,Machine-op-inspct,United-States,<=50K
35.0,Private,12th,Craft-repair,United-States,>50K
52.0,Private,1st-4th,Machine-op-inspct,Mexico,<=50K
30.0,Private,11th,Other-service,United-States,<=50K
34.0,Local-gov,11th,Machine-op-inspct,United-States,<=50K
34.0,State-gov,HS-grad,Transport-moving,United-States,<=50K
20.0,Private,Some-college,Sales,United-States,<=50K
17.0,Private,11th,Handlers-cleaners,United-States,<=50K
32.0,State-gov,Bachelors,Exec-managerial,United-States,>50K
29.0,Private,HS-grad,Farming-fishing,United-States,<=50K
33.0,Private,10th,Craft-repair,United-States,<=50K
25.0,Private,HS-grad,Transport-moving,United-States,<=50K
36.0,Federal-gov,Masters,Prof-specialty,United-States,<=50K
23.0,Private,HS-grad,Handlers-cleaners,Dominican-Republic,<=50K
63.0,Self-emp-inc,HS-grad,Exec-managerial,United-States,>50K
47.0,Local-gov,Masters,Prof-specialty,United-States,<=50K
80.0,?,HS-grad,?,United-States,<=50K
17.0,?,11th,?,United-States,<=50K
40.0,Self-emp-not-inc,Bachelors,Prof-specialty,United-States,<=50K
30.0,Private,Assoc-acdm,Other-service,United-States,>50K
27.0,Private,Some-college,Craft-repair,Philippines,<=50K
33.0,Private,Masters,Prof-specialty,United-States,>50K
34.0,Local-gov,HS-grad,Farming-fishing,United-States,<=50K
34.0,Local-gov,Some-college,Protective-serv,United-States,<=50K
23.0,Private,Some-college,Adm-clerical,United-States,<=50K
42.0,Local-gov,Some-college,Adm-clerical,United-States,<=50K
29.0,Private,Bachelors,Prof-specialty,United-States,<=50K
45.0,Private,HS-grad,Adm-clerical,United-States,<=50K
24.0,Federal-gov,HS-grad,Armed-Forces,United-States,<=50K
44.0,Private,Some-college,Prof-specialty,United-States,>50K
27.0,Private,9th,Craft-repair,Mexico,<=50K
20.0,Private,Some-college,Sales,United-States,<=50K
44.0,Private,HS-grad,Exec-managerial,United-States,<=50K
51.0,Private,HS-grad,Craft-repair,United-States,<=50K
20.0,Private,HS-grad,Machine-op-inspct,United-States,<=50K
17.0,?,11th,?,United-States,<=50K
19.0,Private,HS-grad,Machine-op-inspct,United-States,<=50K
45.0,Self-emp-inc,Some-college,Craft-repair,United-States,>50K
60.0,Private,HS-grad,Craft-repair,United-States,>50K
42.0,Private,Assoc-acdm,Exec-managerial,?,>50K
44.0,Self-emp-not-inc,HS-grad,Sales,United-States,>50K
40.0,Private,Assoc-voc,Machine-op-inspct,United-States,>50K
30.0,Private,HS-grad,Exec-managerial,United-States,<=50K
38.0,Private,Some-college,Transport-moving,United-States,<=50K
23.0,Private,HS-grad,Transport-moving,United-States,<=50K
32.0,?,Some-college,?,United-States,<=50K
44.0,Private,Assoc-acdm,Farming-fishing,United-States,<=50K
54.0,Local-gov,HS-grad,Transport-moving,United-States,<=50K
32.0,Private,Bachelors,Prof-specialty,United-States,<=50K
50.0,Private,1st-4th,Craft-repair,United-States,<=50K
24.0,Private,Bachelors,Tech-support,United-States,<=50K
37.0,Private,HS-grad,Adm-clerical,United-States,<=50K
52.0,Private,HS-grad,Transport-moving,United-States,<=50K
38.0,Private,Some-college,Transport-moving,United-States,<=50K
49.0,Private,Masters,Exec-managerial,United-States,>50K
30.0,Private,Bachelors,Tech-support,United-States,>50K
60.0,Private,Some-college,Prof-specialty,United-States,>50K
22.0,?,Some-college,?,United-States,<=50K
35.0,Private,HS-grad,Craft-repair,United-States,<=50K
30.0,Private,HS-grad,Transport-moving,United-States,<=50K
67.0,Private,Assoc-voc,Other-service,United-States,<=50K
46.0,Private,Bachelors,Craft-repair,United-States,<=50K
17.0,Private,9th,Other-service,United-States,<=50K
